klc_index,kanji,heisig,english
2222,奔,bustle,"bustle, run "
770,暁,daybreak,"daybreak, dawn, in the event "
743,伴,consort,"consort, accompany, bring with, companion "
1404,畔,paddy ridge,"paddy ridge, levee "
458,巻,scroll,"scroll, volume, book, part, roll up, wind up, tie, coil, counter for texts (or book scrolls) "
459,圏,sphere,"sphere, circle, radius, range "
2237,謄,facsimilie,"mimeograph, copy "
1579,矯,rectify,"rectify, straighten, correct, reform, cure, control, pretend, falsify "
164,矛,halberd,"halberd, arms, festival float "
1906,霧,fog,"fog, mist "
1853,班,squad,"squad, corps, unit, group "
1186,弔,condolences,"condolences, mourning, funeral "
629,老,old man,"old man, old age, grow old "
630,孝,filial piety,"filial piety, child's respect "
1956,拷,torture,"torture, beat "
1188,煮,boil,"boil, cook "
1445,署,signature,"signature, govt office, police station "
1447,賭,gamble,"gamble, wager, bet "
1932,峡,gorge,"gorge, ravine "
1934,挟,sandwiched,"pinch, between "
747,帥,commander,"commander, leading troops, governor "
1840,棺,coffin,"coffin, casket "
1907,露,dew,"dew, tears, expose, Russia "
1831,跳,hop,"hop, leap up, spring, jerk, prance, buck, splash, sputter, snap "
1586,践,tread,"tread, step on, trample, practice, carry through "
1326,踏,step,"step, trample, carry through, appraise, evade payment "
1486,禍,calamity,"calamity, misfortune, evil, curse "
376,阪,Heights,"heights, slope "
1373,陳,line up,"exhibit, state, relate, explain "
1431,陛,highness,"highness, steps (of throne) "
2212,堕,degenerate,"degenerate, descend to, lapse into "
1566,窃,stealth,"stealth, steal, secret, private, hushed "
1415,搾,squeeze,squeeze 
1897,窯,kiln,"kiln, oven, furnace "
1711,窮,hard up,"hard up, destitute, suffer, perplexed, cornered "
906,丘,hill,"hill, knoll "
908,岳,Point,"point, peak, mountain "
1214,繕,darning,"darning, repair, mend, trim, tidy up, adjust "
1414,絞,strangle,"strangle, constrict, wring "
1044,紅,crimson,"crimson, deep red "
2072,網,netting,"netting, network "
1791,紫,purple,"purple, violet "
984,縛,truss,"truss, arrest, bind, tie, restrain "
2073,縄,straw rope,"straw rope, cord "
2146,幽,faint,"seclude, confine to a room "
2180,滋,nourishing,"nourishing, more & more, be luxuriant, planting, turbidity "
2179,慈,mercy,mercy 
733,却,instead,"instead, on the contrary, rather "
861,卸,wholesale,wholesale 
901,零,zero,"zero, spill, overflow, nothing, cipher "
2005,勇,courage,"courage, cheer up, be in high spirits, bravery, heroism "
1325,踊,jump,"jump, dance, leap, skip "
725,厄,unlucky,"unlucky, misfortune, bad luck, disaster "
1140,柳,willow,willow 
2131,酌,bartending,"bar-tending, serving sake, the host, draw (water), ladle, scoop, pump "
2127,酵,fermentation,fermentation 
1628,酷,cruel,"cruel, severe, atrocious, unjust "
1627,酬,repay,"repay, reward, retribution "
2126,酪,dairy products,"dairy products, whey, broth, fruit juice "
2129,酢,vinegar,"vinegar, sour, acid, tart "
801,猶,waver,"furthermore, still, yet "
802,尊,revered,"revered, valuable, precious, noble, exalted "
2016,鼓,drum,"drum, beat, rouse, muster "
2017,樹,timber-trees,"timber trees, wood "
1302,盆,basin,"basin, lantern festival, tray "
2030,濫,overflow,"excessive, overflow, spread out "
767,猛,fierce,"fierce, rave, rush, become furious, wildness, strength "
1672,爵,baron,"baron, peerage, court rank "
1476,朗,melodious,"melodious, clear, bright, serene, cheerful "
524,刈,reap,"reap, cut, clip, trim, prune "
296,凶,villain,"villain, evil, bad luck, disaster "
1463,宰,superintend,"superintend, manager, rule "
1753,薪,firewood,"fuel, firewood, kindling "
1473,執,tenacious,"tenacious, take hold, grasp, take to heart "
1621,糾,twist,"twist, ask, investigate, verify "
1438,陵,mausoleum,"mausoleum, imperial tomb "
2160,劾,censure,"censure, criminal investigation "
1664,醸,brew,"brew, cause "
1665,壌,lot,"lot, earth, soil "
1663,嬢,lass,"lass, girl, Miss, daughter "
834,漬,pickling,"pickling, soak, moisten, steep "
1355,俵,bag,"bag, bale, sack, counter for bags "
1841,轄,control,"control, wedge "
1376,隆,hump,"hump, high, noble, prosperity "
1378,峰,summit,"summit, peak "
1380,縫,sew,"sew, stitch, embroider "
2105,泰,peaceful,"peaceful, calm, peace, easy, Thailand "
2104,奏,play music,"play music, speak to a ruler, complete "
2103,奉,dedicate,"observance, offer, present, dedicate "
2106,俸,stipend,"stipend, salary "
1733,謹,discreet,"discreet, reverently, humbly "
1012,華,splendor,"splendor, flower, petal, shine, luster, ostentatious, showy, gay, gorgeous "
1011,錘,spindle,"weight, plumb bob, sinker "
1770,吟,versify,"versify, singing, recital "
1772,琴,harp,"harp, koto "
785,遷,transition,"transition, move, change "
1157,献,offering,"offering, counter for drinks, present, offer "
1490,欄,column,"column, handrail, blank, space "
696,倉,godown,"godown, warehouse, storehouse, cellar, treasury "
697,創,genesis,"genesis, wound, injury, hurt, start, originate "
1855,輩,comrade,"comrade, fellow, people, companions "
1673,侯,marquis,"marquis, lord, daimyo "
408,干,dry,"dry, parch "
410,汗,sweat,"sweat, perspire "
691,軒,flats,"flats, counter for houses, eaves "
1543,芋,potato,potato 
998,叙,confer,"confer, relate, narrate, describe "
1108,勅,imperial order,imperial order 
1142,疎,alienate,"alienate, rough, neglect, shun, sparse "
1033,剣,saber,"sabre, sword, blade, clock hand "
1778,勲,meritorious deed,"meritorious deed, merit "
1779,薫,fragrant,"send forth fragrance, fragrant, be scented, smoke (tobacco) "
1941,痴,stupid,"stupid, foolish "
1944,痘,pox,"pox, smallpox "
1940,疾,rapidly,rapidly 
1943,痢,diarrhea,diarrhea 
1942,疫,epidemic,epidemic 
1468,癖,mannerism,"mannerism, habit, vice, trait, fault, kink "
1803,匿,hide,"hide, shelter, shield "
1802,匠,artisan,"artisan, workman, carpenter "
1386,枢,hinge,"hinge, pivot, door "
1279,彫,carve,"carve, engrave, chisel "
991,杉,cedar,"cedar, cryptomeria "
990,彩,coloring,"coloring, paint, makeup "
1460,彰,patent,"patent, clear "
1416,紋,family crest,"family crest, figures "
2295,蚊,mosquito,mosquito 
1258,斉,adjusted,"adjusted, alike, equal, similar variety of "
1261,剤,dose,"dose, medicine, drug "
1259,斎,purification,"purification, Buddhist food, room, worship, avoid, alike "
1613,粛,solemn,"solemn, quietly, softly "
885,塁,bases,"bases, fort, rampart, walls, base(ball) "
1235,摂,vicarious,"vicarious, surrogate, act in addition to "
328,央,center,"center, middle "
1320,赦,pardon,"pardon, forgiveness "
776,蛮,barbarian,barbarian 
1043,紺,navy blue,"dark blue, navy "
1796,棋,chess piece,"chess piece, Japanese chess, shogi "
1797,碁,Go,Go 
1798,甚,tremendously,"tremendously, very, great, exceedingly "
1799,勘,intuition,"intuition, perception "
1800,堪,withstand,"withstand, endure, support, resist "
961,舞,dance,"dance, flit, circle, wheel "
1516,粗,coarse,"coarse, rough, rugged "
1515,租,tariff,"tariff, crop tax, borrowing "
641,祖,ancestor,"ancestor, pioneer, founder "
1517,阻,thwart,"thwart, separate from, prevent, obstruct, deter, impede "
1520,畳,tatami mat,"tatami mat, counter for tatami mats, fold, shut up, do away with "
1086,譜,musical score,"musical score, music, note, staff, table, genealogy "
1921,顕,appear,"appear, existing "
2110,霊,spirits,"spirits, soul "
1345,恭,respect,"respect, reverent "
545,亜,Asia,"Asia, rank next, come after, -ous "
1599,浦,bay,"bay, creek, inlet, gulf, beach, seacoast "
1601,舗,shop,"shop, store "
481,邸,residence,"residence, mansion "
1422,郭,enclosure,"enclosure, quarters, fortification, red-light district "
1412,郊,outskirts,"outskirts, suburbs, rural area "
1411,邦,home country,"home country, country, Japan "
1295,郷,hometown,"home town, village, native place, district "
286,郎,son,"son, counter for sons "
287,廊,corridor,"corridor, hall, tower "
1551,盾,shield,"shield, escutcheon, pretext "
1552,循,sequential,"sequential, fellow "
1405,衆,masses,"masses, great numbers, multitude, populace "
1555,逓,parcel post,"relay, in turn, sending "
2193,后,empress,"empress, queen, after, behind, back, later "
825,嗣,heir,"heir, succeed "
673,盤,tray,"tray, shallow bowl, platter, tub, board, phonograph record "
2298,繭,cocoon,cocoon 
1507,敷,spread,"spread, pave, sit, promulgate "
127,汽,vapor,"vapor, steam "
1862,衷,inmost,"inmost, heart, mind, inside "
593,靴,shoes,shoes 
1478,呉,give,"give, do something for "
1479,娯,recreation,"recreation, pleasure "
960,蒸,steam,"steam, heat, sultry, foment, get musty "
1819,邪,wicked,"wicked, injustice, wrong "
1511,藩,clan,"clan, enclosure "
2019,脹,dilate,"dilate, distend, bulge, fill out, swell "
1863,喪,miss,"miss, mourning "
601,巣,nest,"nest, rookery, hive, cobweb, den "
1076,禅,Zen,"Zen, silent meditation "
763,獣,animal,"animal, beast "
1246,誉,reputation,"reputation, praise, honor, glory "
764,猟,game hunting,"game-hunting, shooting, game, bag "
1873,嘱,entrust,"entrust, request, send a message "
1777,塑,model,"model, molding "
2071,綱,hawser,"hawser, class (genus), rope, cord, cable "
2070,剛,sturdy,"sturdy, strength "
1368,缶,tin can,"tin can, container "
1372,陶,pottery,"pottery, porcelain "
2207,懇,sociable,"sociable, kind, courteous, hospitable, cordial "
2206,墾,groundbreaking,"ground-breaking, open up farmland "
1331,騎,equestrian,"equestrian, riding on horses, counter for equestrians "
1388,駆,drive,"drive, run, gallop, advance, inspire, impel "
2275,駄,burdensome,"burdensome, pack horse, horse load, send by horse "
2277,篤,fervent,"fervent, kind, cordial, serious, deliberate "
2236,騰,inflation,"inflation, advancing, going "
2004,虜,captive,"captive, barbarian, low epithet for the enemy "
2003,虚,void,"void, emptiness, unpreparedness, crack, fissure, untruth "
2007,戯,frolic,"frolic, play, sport "
2001,虞,uneasiness,"uneasiness, fear, anxiety, concern "
1999,慮,prudence,"prudence, thought, concern, consider, deliberate, fear "
2000,虐,tyrannize,"tyrannize, oppress "
2260,慶,jubilation,"jubilation, congratulate, rejoice, be happy "
2258,麗,lovely,"lovely, companion "
1151,嚇,upbraid,"menacing, dignity, majesty, threaten "
1252,朕,majestic plural,"majestic plural, imperial we "
1905,雰,atmosphere,"atmosphere, fog "
803,遵,abide by,"abide by, follow, obey, learn "
895,罷,quit,"quit, stop, leave, withdraw, go "
1100,屯,barracks,"barracks, police station, camp "
263,且,moreover,"moreover, also, furthermore "
1812,藻,seaweed,"seaweed, duckweed "
2050,隷,slave,"slave, servant, prisoner, criminal, follower "
948,癒,healing,"healing, cure, quench (thirst), wreak "
667,丹,cinnabar,"rust-colored, red, read lead, pills "
2265,潟,lagoon,lagoon 
2288,璽,imperial seal,emperor's seal 
2011,噂,gossip,"rumor, gossip, hearsay "
2010,嘘,fib,"lie, falsehood "
1768,叱,scold,"scold, reprove "
647,呆,dumbfounded,"be amazed, disgusted, shocked "
1652,崖,bluffs,"cliff, bluff, precipice "
2247,挨,shove,push open 
1027,拭,wipe,"wipe, mop, swab "
2248,拶,imminent,be imminent 
1178,潰,defile,"crush, smash, break, dissipate "
1518,狙,aim at,"aim at, sight, shadow, stalk "
2279,蔑,revile,"ignore, despise, neglect, ridicule "
2033,腎,kidney,kidney 
656,枕,pillow,pillow 
1420,諦,give up,"abandon, give up "
905,賑,bustling,"flourish, be bustling, prosperity "
1324,蹴,kick,kick 
1916,頃,about that time,"time, about, toward "
1699,挫,sprain,"crush, break, sprain, discourage "
2042,戚,relatives,grieve 
1248,拳,fist,fist 
1467,璧,(none),"sphere, ball "
